Country,Year,Air_Pollution_Index,Arctic_Ice_Extent,Average_Rainfall,Average_Temperature,Biodiversity_Index,CO2_Emissions,Deforestation_Rate,Energy_Consumption_Per_Capita,Extreme_Weather_Events,Forest_Area,Fossil_Fuel_Usage,GDP,Industrial_Activity,Methane_Emissions,Ocean_Acidification,Per_Capita_Emissions,Policy_Score,Population,Renewable_Energy_Usage,Sea_Level_Rise,Solar_Energy_Potential,Temperature_Anomaly,Urbanization,Waste_Management
Country_1,1900,160.8813641102159,8.115041642032711,2148.844894270107,5.502509452654904,45.789449628685766,398464436.05053085,3.1192783730013978,2657.0266605137267,26.75,27.85680982349338,52.42737642009199,4573251719530.093,57.20210018550256,5169077.091809242,8.079237613104146,10.581176943773746,42.94231832637031,375046563.29476595,60.18565113477576,24.478589783972396,1558.8314671938276,-0.33502664443491553,20.42625540694363,73.04438343834005
Country_1,1901,130.85778965707658,12.662954096742322,1391.373133113763,19.801916235528076,51.70892396399398,844051134.7662318,1.4243643238530979,3506.219973316606,27.0,69.84839461911258,76.35554428074897,4868018325857.212,27.407770059630113,2619169.6278624395,8.149605340702873,10.221387028940686,16.95438801810483,1001557601.3628284,39.525191017430814,11.040926354025272,2087.1866780603627,0.17037333470906546,46.90430548064223,50.237962843976796
Country_1,1902,166.26801799332222,6.576582874618789,2962.8907957488022,18.555980705056484,73.52040964890159,709003905.5985886,0.5966398290771732,2164.9268978942155,27.333333333333332,50.116559746145356,57.53192822285698,5464040543102.169,59.22746692304029,6380283.921120345,7.903046002288757,6.778344841518906,48.19318875077047,360441777.0675215,71.86792637103319,27.972579431197094,1607.254446543865,0.44839136213170777,69.7159690678646,42.1045845638457
Country_1,1903,189.44626851804358,5.809994876296986,2585.314074404229,25.610792321274182,55.50172479884635,738865424.6902335,2.1215202773711668,2062.859868977941,26.75,68.08345054501639,45.27002039342266,4415206487362.767,48.4481450754342,5175567.792223001,8.02178540994664,5.860874152365528,49.1784829755795,916456165.1302122,45.673511399525864,13.719262910370361,1159.1141514918997,1.2548782461626737,51.86846354638056,18.991930495010205
Country_1,1904,117.64781569522374,5.9538989625984655,3112.2077834146526,16.345708981327213,57.842259439443005,580475682.4103152,3.490436991835288,3453.870113791146,33.0,21.907528641688387,39.504758530930864,5453626755653.013,65.22092614449754,3343213.85560729,7.8752921742736035,7.771084532461892,34.84044126590982,487028386.27109164,55.2419377836221,11.041168144982507,1621.4389284225272,0.4554329980155678,32.02351763649765,53.156172905972674
Country_1,1905,139.57463261071513,3.6236908233166774,2584.3524629593926,13.847646411016573,61.01182275314473,577746884.1418756,2.510218743493797,2953.886563257491,21.6,56.92602444744458,60.62245671544031,5780116718390.26,69.16110473347295,7216920.25849359,7.840244067723073,10.5360670676838,44.067379922086744,769441465.3520029,68.23210137893676,14.282444975841504,1226.2508559584855,0.41074560504624247,55.32922816929854,53.011984251294884
Country_1,1906,116.94460425075994,5.673548331541857,3063.282963773423,12.256492790321524,73.82449358000014,702463994.4007828,2.787102769427316,1844.869843400555,17.5,71.33212716057261,66.97630657990665,5664275604823.811,78.47546005625489,4902898.660717032,7.992786666475617,13.095437070924355,52.49801494712497,735869174.673377,42.95833393329145,5.448859740755109,1487.9741843175616,0.9089769053351697,49.76209709313132,41.17509673257899
Country_1,1907,133.10072909864792,2.0641899924195375,2648.5022134185765,27.827220748713373,47.30848097968135,604002355.7686001,2.6560190972836253,2394.8512365881866,33.333333333333336,45.09794484826872,59.52249525310802,6526097908811.332,57.82170573626678,3227840.4357823953,7.891709565801581,8.826177541217687,62.134644879581515,847530501.3322874,50.626980091453675,28.49638169699124,1403.7789041592068,-0.603829235380959,42.854770379886084,51.53603547397342
Country_1,1908,165.38294634436602,9.559249000164908,2703.823503214213,13.713516501508574,64.35491828275659,371809597.5921246,2.1263653411416343,2508.4333580863513,25.2,38.3845883406933,41.87445967458736,7034924017875.162,30.2781162604185,3091091.120337179,8.036240707215855,8.980072716248467,55.28442113796566,919332214.9608843,47.509776403154966,33.475862206502406,1430.6979583596326,0.1775394558418978,62.1157907781524,43.829206812509526
Country_1,1909,68.8823519400202,5.755559666977386,1913.8300525825641,20.95494812820627,31.644135757124925,314684424.12059087,2.433951311472915,3032.9250035832724,36.666666666666664,45.96369321643369,56.15140309028276,7712606368279.028,31.661105849819652,2117231.6051568543,8.176224532791645,8.013607292494958,21.075501578982095,1010018494.3163277,44.30273825569264,34.44405449625971,825.723344150366,0.8789182547603923,44.986896624734094,67.09204630715641
Country_1,1910,170.53454743439295,7.039053440494449,2739.312529231365,11.172257510783759,59.98450153406571,481112865.1290843,2.6512063921381266,2606.5694955577337,26.75,50.813937363421616,64.8748751647444,5887433627271.003,42.2269190404859,5652337.885698173,7.9626994248267495,12.667555225992132,47.28083750540342,857169456.1239436,63.775258667061266,30.439047586945662,1592.3606181977236,0.08174282922586482,39.947229748483814,32.946346550973296
Country_1,1911,164.79129109878411,5.856508673378008,2932.925134515927,13.807228632894825,54.667844874715286,598239401.1221955,2.540952128926391,2537.6315233902737,23.0,48.55781581746319,43.621314995382825,3448988195207.417,51.10407703053323,4220548.994753675,8.041751452603759,8.874677728360465,65.27907570093902,652105816.8701787,61.42435535110076,25.63045840887729,1280.8040756456148,-0.2967349552354726,48.66289677943196,43.49219380574377
Country_1,1912,203.55174750439483,7.769644697122245,1847.0594261498354,5.351861615835963,60.7318011314842,606164372.9990853,2.6505116722212554,2208.003203310443,22.25,53.601278858388724,27.536158971262385,5057245522620.047,41.39375626837211,4439504.838388855,7.952237546621538,6.579916993524619,49.3047145418262,298846025.45536095,61.70379505985558,20.26126078426369,1267.2300319073302,-0.7656178207789254,59.01633908970028,39.55530195497006
